question	answer
名爵MG72010款 1.8T 自动精英版优点	动力不错，油门感应非常灵敏，提速有推背感非常好
名爵MG72010款 1.8T 自动精英版缺点	内饰风格可以改进一下，虽然有英国风格，但是年轻人就不是那么给力了
名爵MG72010款 1.8T 自动精英版外观	外观非常好看大气，很有英国气质，稳重大方。
名爵MG72010款 1.8T 自动精英版舒适度	座椅稍微大一点就好了 但是还算不错
名爵MG72010款 1.8T 自动精英版性价比	性价比比较合适，很绅士的一辆英伦车，但是在同价格的车里，这车具有1.8T的引擎还是很少有的，这是最大的亮点之一。
名爵MG72010款 1.8T 自动精英版内饰	内饰比较落后一点，虽然有点英国风格，应该稍有改进，内饰的材质比较厚道。
名爵MG72010款 1.8T 自动精英版操控表现	操控很精准，但是没有ESP，这个价位很多车都已经配备了，底盘很低，看起来很舒服，
名爵MG72010款 1.8T 自动精英版油耗表现	油耗比较高。但是勉强可以忍受
名爵MG72010款 1.8T 自动精英版动力表现	油门比较灵敏 提速很快，有强劲的推背感，0到100很快。
名爵MG72010款 1.8T 自动精英版空间感受	可能是本事乘车人员身高都不是很高，感觉前后排空间都不错，余地还是比较大，但是可以再稍微长一些、宽一些。后备箱很大，储物空间很满意，但是驾驶室储物空间确实不是很多。
名爵MG72010款 1.8T 自动精英版智能配置	
名爵MG72010款 1.8T 自动舒适版售价	16.88万
名爵MG72010款 1.8T 自动舒适版优点	用料实在，看着就皮实。
名爵MG72010款 1.8T 自动舒适版缺点	上汽、南汽看来已经放弃了对7系的进一步探索，完全没有像解决7系上多个“顽症”的意思啊。小毛病不断啊！
名爵MG72010款 1.8T 自动舒适版外观	依旧是延续英国时期的设计，最看好的一点，设计复古，钢板，轮胎用料都很实在的说。
名爵MG72010款 1.8T 自动舒适版舒适度	悬挂硬，支撑不错，但是遇到一点儿坑洼就全部都传到方向盘上了。好在全部独立悬挂，车身晃动尚可。
名爵MG72010款 1.8T 自动舒适版性价比	裸车在14W一下的1.8L涡轮增压，你还想说什么？
名爵MG72010款 1.8T 自动舒适版内饰	同事说仪表盘很好看，橙色灯光，气氛不错。用料实在，虽不是全部真皮，但所有材料都是软质的，赞一个。
名爵MG72010款 1.8T 自动舒适版操控表现	比较满意。虽然是机械助力，但是并没有觉得沉，高速稳啊！！！
名爵MG72010款 1.8T 自动舒适版油耗表现	适中吧，10个油一下，平时上班用最多，一般高速一般城市。
名爵MG72010款 1.8T 自动舒适版动力表现	1.8T日常行驶够用了，暂时上没有试过它的极限，想找个机会拉拉。不知道其他人有没有试过。换挡逻辑有点老了，5档自动，就像震哥和闯哥他们说的不够聪明，特别是在2档、3档换4档的中低档位。
名爵MG72010款 1.8T 自动舒适版空间感受	整体够用，我身高180+，驾驶和后排乘坐空间都不错。
名爵MG72010款 1.8T 自动舒适版智能配置	
名爵MG72010款 1.8T 自动舒适版售价	16.88万
名爵MG72010款 1.8T 自动舒适版优点	外观，复古英伦范儿。
名爵MG72010款 1.8T 自动舒适版缺点	没有
名爵MG72010款 1.8T 自动舒适版外观	就是应为这个外观才买这个车。
名爵MG72010款 1.8T 自动舒适版舒适度	底盘调校的有点硬.
名爵MG72010款 1.8T 自动舒适版性价比	超值。
名爵MG72010款 1.8T 自动舒适版内饰	还不错。
名爵MG72010款 1.8T 自动舒适版操控表现	方向盘略沉，其他很好。
名爵MG72010款 1.8T 自动舒适版油耗表现	目前12.11，应该磨合期过后还会降。刚开始15多呢。
名爵MG72010款 1.8T 自动舒适版动力表现	很棒。绝对暴力。
名爵MG72010款 1.8T 自动舒适版空间感受	还好，后排略紧张
名爵MG72010款 1.8T 自动舒适版智能配置	
名爵MG72010款 1.8T 自动舒适版售价	16.88万
名爵MG72010款 1.8T 自动舒适版优点	卖mg7最大大一个原因是因为在09年4月份购入了mg3SW，通过一年多的使用，觉得名爵的车车外观很漂亮，十分的原汁原味的英伦范，而且底盘开起来给人的感觉是很整的那种，让人十分满意。
名爵MG72010款 1.8T 自动舒适版缺点	上汽收购了南汽过后没有把这款经典的车型继续改进下去，十分失望啊.........
名爵MG72010款 1.8T 自动舒适版外观	外观就是见仁见智的了，小七的外观很有性格，喜欢的和不喜欢的应该都是极端的吧。
名爵MG72010款 1.8T 自动舒适版舒适度	主观感觉上隔音很不错，在20万以下的车来说算是不错的了。
名爵MG72010款 1.8T 自动舒适版性价比	不到15万的价格，中级车，还是挺满意的。
名爵MG72010款 1.8T 自动舒适版内饰	很有味道，随手可及的地方都是软软的，感觉特别好。
名爵MG72010款 1.8T 自动舒适版操控表现	MG7最我满意的一点就是操控性能。方向盘回馈很直接，而且很粘手。虽然没有随速可变助力，但是得益于调校偏重和一吨五六的车重，高速的稳定性很好。
名爵MG72010款 1.8T 自动舒适版油耗表现	老技术的发动机了，油耗方面和现在的同排量发动机相比要高一些，综合油耗基本就是在10个到11个。
名爵MG72010款 1.8T 自动舒适版动力表现	1.8涡轮增压的发动机，动力数据不算很突出，主要还是因为发动机的技术太老了吧，和当前动辄扭矩260以上的1.8T发动机比起来还是要差一些。仅仅是够用。
名爵MG72010款 1.8T 自动舒适版空间感受	按照级别来看，小七属于中级车，和同样级别的其它车型比起来，小七的内部空间不算很大，2749MM的轴距按理来说也算是不小了，可是为了那个让人着迷的雪茄型车身线条和纯正的英伦范的外形，牺牲了不少后排腿部空间。本人174的身高，在前排调整好座椅过后，后排腿部空间只有一拳三指，也就算是现在的普通紧凑级别轿车的平均水平。
名爵MG72010款 1.8T 自动舒适版智能配置	
名爵MG72010款 1.8T 自动精英版售价	18.78万
名爵MG72010款 1.8T 自动精英版优点	外形复古，底盘扎实
名爵MG72010款 1.8T 自动精英版缺点	小毛病多，塑料件脆弱。下底板的塑料件螺丝孔都豁了无语啊
名爵MG72010款 1.8T 自动精英版外观	经典雪茄外形我喜欢
名爵MG72010款 1.8T 自动精英版舒适度	舒适性一般
名爵MG72010款 1.8T 自动精英版性价比	4S优惠幅度不大，比较不好买的小众车
名爵MG72010款 1.8T 自动精英版内饰	复古内饰，一般人应该接受不了
名爵MG72010款 1.8T 自动精英版操控表现	操控非常到位
名爵MG72010款 1.8T 自动精英版油耗表现	不算高可以忍受
名爵MG72010款 1.8T 自动精英版动力表现	过了2300转涡轮介入动力源源不断，市区相对比较费油
名爵MG72010款 1.8T 自动精英版空间感受	有点小可接受，186的个头基本我调整好驾驶位后面很难坐人
名爵MG72010款 1.8T 自动精英版智能配置	
名爵MG72010款 1.8T 自动精英版售价	18.78万
名爵MG72010款 1.8T 自动精英版优点	动力足，油耗低，用料足，外观耐看，有个性
名爵MG72010款 1.8T 自动精英版缺点	底盘低，通过性不是很好
名爵MG72010款 1.8T 自动精英版外观	耐看
名爵MG72010款 1.8T 自动精英版舒适度	舒适性可以
名爵MG72010款 1.8T 自动精英版性价比	性价比高
名爵MG72010款 1.8T 自动精英版内饰	内饰比较独特
名爵MG72010款 1.8T 自动精英版操控表现	驾驶舒服
名爵MG72010款 1.8T 自动精英版油耗表现	省油
名爵MG72010款 1.8T 自动精英版动力表现	动力强劲
名爵MG72010款 1.8T 自动精英版空间感受	空间还算可以的
名爵MG72010款 1.8T 自动精英版智能配置	
名爵MG72010款 1.8T 自动加长豪华版售价	24.88万
名爵MG72010款 1.8T 自动加长豪华版优点	动力还算好。
名爵MG72010款 1.8T 自动加长豪华版缺点	保有量太低，不好修。
名爵MG72010款 1.8T 自动加长豪华版外观	线条优雅，大灯我喜欢
名爵MG72010款 1.8T 自动加长豪华版舒适度	不好，减震器偏硬，座位腿部支撑不够开车、坐车都不舒服。
名爵MG72010款 1.8T 自动加长豪华版性价比	不好，车型保有量太低不保值。
名爵MG72010款 1.8T 自动加长豪华版内饰	因人而异，英伦气息我喜欢。
名爵MG72010款 1.8T 自动加长豪华版操控表现	一般
名爵MG72010款 1.8T 自动加长豪华版油耗表现	一般，10个油，还可以。
名爵MG72010款 1.8T 自动加长豪华版动力表现	好，现在动力依然充沛。
名爵MG72010款 1.8T 自动加长豪华版空间感受	不大，车型偏窄乘坐不舒适。
名爵MG72010款 1.8T 自动加长豪华版智能配置	
名爵MG72010款 1.8T 自动舒适版售价	16.88万
名爵MG72010款 1.8T 自动舒适版优点	外观独特优雅，内饰沉稳有内涵，用料厚道，底盘厚重，高速超级无敌稳，遇到颠簸路面时所表现沉稳厚实，悬挂特别有任性，刹车脚感很线性，有三五十万车子的感觉。
名爵MG72010款 1.8T 自动舒适版缺点	内饰工艺不精，发动机声音偏响，动力稍肉，油耗较高，转向较为笨重。
名爵MG72010款 1.8T 自动舒适版外观	太喜欢了
名爵MG72010款 1.8T 自动舒适版舒适度	用料厚道，车内比较安静，主要噪音来自发动机。
名爵MG72010款 1.8T 自动舒适版性价比	12万，还有比她更有性价比的中型车吗？
名爵MG72010款 1.8T 自动舒适版内饰	用料厚道，做工较为粗糙，但是样子太棒了。
名爵MG72010款 1.8T 自动舒适版操控表现	转向一般，比较木，但路感称谓厚实，高速很有信心，刹车脚感优秀，比较线性。
名爵MG72010款 1.8T 自动舒适版油耗表现	有点高
名爵MG72010款 1.8T 自动舒适版动力表现	动力较弱，不能和明锐1.8TSI相提并论，但还尚可，踩踩还是有点的。
名爵MG72010款 1.8T 自动舒适版空间感受	车身较窄，后排空间狭小。
名爵MG72010款 1.8T 自动舒适版智能配置	
名爵MG72010款 1.8T 自动加长舒适版售价	21.48万
名爵MG72010款 1.8T 自动加长舒适版优点	最满意当然要说空间了，轴距直接加长20cm，达到2949mm，超越老款A6L的轴距，后排腿部空间同级无敌，单论后排感觉比老款A6L大。
名爵MG72010款 1.8T 自动加长舒适版缺点	最不满意的是那复古的仪表盘，看起来像老爷车，不过也有人喜欢，说这是典型的英伦风格。
名爵MG72010款 1.8T 自动加长舒适版外观	这个见仁见智了，我觉得这外观很有韵味，典型的英伦风格，唯独让我不满意的是尾部收的太厉害，正后方看这车会感觉窄。
名爵MG72010款 1.8T 自动加长舒适版舒适度	真皮座椅很漂亮也很舒适，加上空间大，乘坐舒适度得以保证，噪音方面控制的很好，高速上说话不用刻意提高嗓门。
名爵MG72010款 1.8T 自动加长舒适版性价比	如果不考虑保值率，这车性价比超高
名爵MG72010款 1.8T 自动加长舒适版内饰	中控台，门板，从上到下都是软性材质覆盖，绝对的良心内饰，就连门板下方储物格都是软性覆盖，跑各种道路从没听到过中控有异响。
名爵MG72010款 1.8T 自动加长舒适版操控表现	本人以前开的是紧凑型车，换了这车的第一感觉就是，掉头 入库比以前费劲多了，主要是车长了的原因，方向盘没有虚位，也没有传说的那么沉。其它关于操控的我就不太懂了。
名爵MG72010款 1.8T 自动加长舒适版油耗表现	油耗偏高，技术有些老，车又重，还算可以理解，高速7个，市区11个。
名爵MG72010款 1.8T 自动加长舒适版动力表现	比我想象要好，加速过程很从容，有推背感但不是很强，市内超车、高速超车感觉都很有底气，油门调教很好，不会窜车，也不会感觉肉。
名爵MG72010款 1.8T 自动加长舒适版空间感受	目前为止所有坐我这车后排的人都说，这车这么大！据我个人了解，这车在20万以下轴距最长了吧。
名爵MG72010款 1.8T 自动加长舒适版智能配置	
名爵MG72010款 1.8T 自动豪华版售价	20.28万
名爵MG72010款 1.8T 自动豪华版优点	"车身修长，外观你说是复古，但在我眼里它是后现代。
动力十足，油门下去速度120，不说他多牛逼，公路的车，想超，分分钟。当然牛逼的奔驰宝马奥迪，还是力不从心，搞不赢。
油耗方面，毕竟是1.8带t的，百公里11左右，跑高速一公里五毛钱，这也是我很满意的地方。
车开起来四平八稳，方向盘指那打那，坐在驾驶室和坐在地上没有什么区别，很有驾驶乐趣。"
名爵MG72010款 1.8T 自动豪华版缺点	"最不满意的拼装工艺差，这是公认的，怠速声音大，风扇的声音老远都听得见，随便来个车，都比它怠速声音小。开习惯也就好了，就当是它出发前的咆哮吧。一旦开起来，整车的隔音，还是相当的好，也就释怀咯。
地盘低，容易搁到地盘，但这就是小七。独一无二的小七。
对于个子接近180公分的来说，开这个车有点憋屈，为追求车的流线型，导致车的个别地方有点空间不足。"
名爵MG72010款 1.8T 自动豪华版外观	如果说奔驰是老虎，宝马是骏马，奥迪的科幻，那小七就是千年不变的豹子，这身材长的面条，俩只犀利的眼睛，回缩的小屁股，加上超低的地盘，在夕阳渐下的夕阳下一闪而过。美轮美奂。
名爵MG72010款 1.8T 自动豪华版舒适度	不是太舒坦。
名爵MG72010款 1.8T 自动豪华版性价比	小七的缺点有，但因为爱，那都不是事，只要喜欢，性价比都是伪命题。呵呵�
名爵MG72010款 1.8T 自动豪华版内饰	到中国来拼装差了点。进口太贵，没办法。
名爵MG72010款 1.8T 自动豪华版操控表现	没得说，好。理论方面我不懂，但这车过弯，超车，满满的都是稳，拿三系来说，不能说比三系厉害�，但俩车的超控感，是完全不一样的风格，宝马舒适，但小七原始。就看你喜欢哪一种。
名爵MG72010款 1.8T 自动豪华版油耗表现	在我的预期里面。车是62升的油箱，一趟850公里的高速旅程，刚好到目的地，�其实油耗对小七真不是太重要。
名爵MG72010款 1.8T 自动豪华版动力表现	满满的都是动力。2000转105公里，3000转155公里，最高跑过205，没记错好像是4500转的样子。对于小七，这已经够了。在我这小地方，只要想超，基本都能过去，但有一次和朋友的唐比了下，百公里不是他对手。
名爵MG72010款 1.8T 自动豪华版空间感受	这个车我一直感觉不适合北方人开，个子太高的开起来绝对不会太喜欢，为追求整车外观的流线，设计师牺牲了不少地方，主驾驶室就是第一，后排整体还算可以，这车就后排坐的爽，驾驶员开起来爽。后备箱基本能满足你的一切生活需求。
名爵MG72010款 1.8T 自动豪华版智能配置	
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI售价	11.29万
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI优点	发动机与变速箱匹配的好，没有什么顿挫感。方向盘力度轻盈，容易上手，女士开也没有问题。大众品牌保值率高，朗逸虽是启航版，开起来也不错，性价比之选。地盘很扎实，整体性很强，虽然有点路噪和风噪，但是都在可接受范围之内，毕竟价格不高。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI缺点	配置太低，没有雾灯，大灯全是卤素的，低配是15寸轮毂，相交18款简配了中央扶手。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI外观	老套的设计，没什么新鲜感。大众的外观感觉都差不多，没仔细瞅过。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI舒适度	悬架偏舒适，低速时车内很安静，高速时虽然有风噪和路噪，也在可接受范围之内。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI性价比	预算10万元，感觉性价比还是很高的。10万元的预算买德系盒子车，还要什么自行车啊。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI内饰	低配版有什么设计可言，简单到不能再简单了。噢，对了，幸亏不是PLUS 低配的手机支架。大众内饰都是一样的风格，全是硬塑料，谁用谁知道。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI操控表现	操控不错，方向盘低速轻盈，高速变沉，很容易上手。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI油耗表现	新车直接加满油，已经开了100多公里了，油表一点没下，感觉挺省油的。新车油耗数据也不准，以后再分享吧。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI动力表现	不是飙车党，对动力没有过高的要求，感觉动力够用，起步、超车也没问题。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI空间感受	空间还可以，后排座3个普通人也没问题，毕竟这车1763的车宽不算宽。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI智能配置	
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI售价	11.29万
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI优点	让我最满意的地方就是外观，车身的设计很动感，线条也流畅，在这个级别车型里让我感觉最有眼缘，特别是前脸的中网大气耐看，很大众，整个外观看过去还是比较顺眼的。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI缺点	整体来说都还是不错的，细节部分如果能注意一下会更加完美，悬架调校偏硬，遇到颠簸路段或者长时间乘坐就没那么舒服。另外吐槽一下内饰的设计上有点中规中矩，没有外表那么动感时尚。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI外观	我是有点颜值控，对于外观特别注重，这个车外观显得动感又很时尚，车身线条挺流畅的，质感挺不错的。特别是车灯的造型也很好看，夜间点亮效果不错！我觉得还是挺适合刚出来打拼的年轻人开的。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI舒适度	驾驶的座椅是我觉得做的不错的一个地方，座椅调节方便，靠背角度符合人体工程学，长时间坐着也不会觉得累。这个座椅我很满意，软硬程度也都比较适中。车内配置的音响声音也很清晰，平时开着车哼着歌，还是挺惬意的。唯一不太满意的就是车子悬架调校偏硬，长时间坐车或者过烂路就不怎么舒服了。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI性价比	性价比我觉得挺高的，因为我在网上也看了蛮多款车型的，比较了以后还是更喜欢朗逸，尤其是外观方面，而且配置上也丰富，操控也很轻松，十万左右的价格能买到各方面都让我满意的，性价比不错了。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI内饰	内饰整体设计还是不错的，仪表中控设计师也下了不少功夫，看布局上也比较清楚。就是用料上做工粗糙了点，没有采用全部的软包装，质感上差了点意思。要是这块再改进一下，销量肯定会更高！
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI操控表现	它的助力方向盘很轻便，驾驶起来很轻松，而且转向精准，指哪打哪。速度快起来的时候，方向盘会变重，刹车反应也是比较快的，让人开起来既轻松又安心。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI油耗表现	目前综合油耗显示7.2个油左右，还是我能接受的。毕竟还是在磨合期，我相信后面我开习惯了会再降点下来。因为平常我上班的路段还是挺平坦顺畅的，而且我开车习惯也比较好，希望后期能保持在6个油左右就完美了。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI动力表现	平时上下班代步起步的时候不会觉得带不动，在踩油门的时候反应也很快，我觉得这个动力还是不错的，高速上如果舍得加油，推背感还是挺强的。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI空间感受	这款车的空间还是挺大的，本人一米七八的身高，驾驶室空间很宽裕。头部空间也很充足，头顶不会有压迫感。后备箱空间也还不错，之前带朋友出去烧烤，后面放了食材和烤架，也不会觉得拥挤。这点我还是挺满意的。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI智能配置	
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI售价	12.39万
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI优点	满意的第一点就是他的车价格便宜。我的经济预算不多，所以都想花最少的钱买最好的车。看车的时候很多车子的价格超出预算的都不能买。付和我预算的车型就那么几个。花10万块钱买一个轿车还是合资车，也是大众的车，品牌也不错，整体我是非常满意的。第二个就是他的空间很大。因为我选择对于空间也有需求，可能考虑到后期结婚呢回家。各方面用车需求比较多。空间也是我考虑的一点。级别车型中朗逸的空间还是非常大的。是满足了我的需求。第三个就是他的外观非常年轻运动。外观看起来一点也不老气。符合我们现在的气质。车身的做工以及车漆都没有特别值得称赞的点。毕竟价位在这儿能有这个效果，我已经是非常满意了。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI缺点	没有什么不满意的，各方面都很满意，价格便宜。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI外观	款车子的外观看起来一点也不老气。年轻人也能拿捏得下来。他的很多细节方面处理的很到位，虽然车漆没有经过特殊的处理，也不是特别靓丽。价位不高吗，咱们也不能有太多的要求。虽然没有什么特殊的技术含量在里面，但是整体的车漆很厚，皮很结实。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI舒适度	车子的舒适性很好，坐在里面颠簸不大，而且胎噪风噪控制的很好，噪音很小。我的第一款车我非常的高兴，经常在里面听歌，点一首明天会更好。这幻想我美好的未来。大致就是生活可喜，未来可期。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI性价比	买这款车是10万块钱，其中花了3000块钱自己做了一些小装饰。现在三千多公里，各方面都很好，也没有小毛病。然后ssss店的人也经常给你打电话，整体的售后服务也很好。这款车用起来还是非常舒心的。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI内饰	内饰相对简陋，一点，没有太多可以值得夸赞的地方，整体还是很不错的。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI操控表现	操控没有任何问题，at变速箱匹配的非常流畅，换挡非常自然平顺，没有顿挫感。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI油耗表现	我每个月只有300块钱的零花钱。车加油的话，300块钱还用不完。非常的喜欢，这个油耗1公里就四毛钱。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI动力表现	动力表现一般般，和其他的车型肯定比不了，毕竟是用来家用的。还是没有动力不足的情况。用的话还是非常省心的。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI空间感受	空间很大呀，买车的时候老白和他的四五个小媳妇儿。你说我车回去的，他们都说空间很大。清楚的记得当时他的一个小媳妇儿说。车空间很大，能不能借我开一下，里面挺舒服的。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI智能配置	
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI售价	12.39万
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI优点	现在三千多公里的磨合。大致也有这么几个点吧。首先肯定是价格。这款车子落地12万。大礼包和保养。都有免费赠送。这个价格买一款合资车大品牌的我非常满意。第二个就是这款车子带来的使用价值。车子的空间挺大，能够满足我们一家三口的使用。第三个就是外观。车子本身虽然不贵，但是他却没有那种可以直视的廉价感。车漆的做工以及钣金的厚度都不错。在小路上跑也比较上档次。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI缺点	我是10月份买的车，现在两个多月了。开那三千多公里，各方面感受都挺良好，其中不满意的点有两个，第一个。由于价位不是很高，可能它的舒适性在同级别车型中要稍微差一点。在路上跑起来的噪音也挺大的。第二个就是它的内饰设计的有点简约，我去丈母娘家的时候，说你这个车里面怎么这么丑。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI外观	车子的外观非常的存在，看起来年轻运动跟我这个90后的很搭配，路上跑起来感觉不老气，而且还有一定的回头率。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI舒适度	这款车子的舒适性就不怎么样了。最常见的表现就是减震比较硬，而且它的噪音控制不好。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI性价比	记得老白当时说这款车子非常适合家用，如果车身没有什么质量问题，这款车子一定会陪你走到很远的一段路。我也希望长路漫漫，朗逸作伴！
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI内饰	丈母娘说那是做工程，让我去好好改一下。说这个颜色太朴素了，没有视觉冲击。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI操控表现	车子虽然不是什么好车，那操控值得称赞。自然吸气发动机匹配at变速箱，换挡平顺自然，开起来非常的柔顺，完全没有卡顿的感情。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI油耗表现	车简直太省油了，现在油价本来就便宜，在路上跑起来也就五毛钱一公里，可以非常的划算。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI动力表现	选择的是一个1.5的自然吸气发动机。动力的话肯定不是特别的充足，因为当时我选择的时候老白跟我说过，他说你是为了家庭家用的话，就选择1.5自然吸气的。为了自己愉快的玩耍，可以选择一个涡轮增压的。在权衡利弊之下，我选择了自然吸气发动机。家用嘛，动力足够就行。不追求那些速度上的激情。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI空间感受	前段时间我的好兄弟老白买了新房子。我去帮他搬家的时候，有很多东西都是我的车带过去的。这款车子空间很大。能装载不少的东西。不管是载人出行还是载物旅游都有很大的空间。老白这个多年的老司机都对这款车子称赞，说空间够大。
大众朗逸2019款 朗逸启航 1.5L 自动舒适版 国VI智能配置	
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI售价	11.29万
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI优点	考虑买车就是冲着空间，实用，省油，这些要求去选的，所以，对于朗逸这款车最满意的首先是空间足够大，不管是乘坐还是后备箱装东西，都相当宽敞，还有就是1.5L的发动机，家用车黄金排量，工薪阶层能够承受的油耗，还有应该就是大众这个品牌吧，给我们这些消费大众的信心。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI缺点	说到不满意，应该就是内饰稍微偏土气了一些，还有也就是来源于排量动力，既然是家用，要省油，那肯定就不能要求太高，动力会弱一些也是正常，我就是有些后悔了，应该买个又省油又动力强的，比如带涡轮增压的发动机，应该会比这个1.5L的好一些，当然这只是小遗憾，并未给我带来实质的不满意。
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI外观	外形我家人都觉得不错，大大方方的，尤其大灯设计，不奇怪，有时候在路上开车总能看到有些品牌的车那大灯设计造型老怪异了，朗逸还行，整个车身设计也看起来比较显大，
大众朗逸2019款 朗逸启航 1.5L 自动风尚版 国VI舒适度	能给到家人宽敞的空间，舒适性就查不到哪儿去，毕竟以人为本，车上开的人也好，坐的人也好，都舒服了，才能体现这车的重要性，悬架有点硬，过弯会没那么圆润，其他都还好。
